2025-01-28 20:04:55.852 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 20:04:55.859 | INFO     | __main__:<module>:68 - Project root: C:\Users\cerad\OneDrive\Desktop\Streaming Data\Module 3\buzzline-03-drake
2025-01-28 20:04:55.860 | INFO     | __main__:<module>:72 - Data folder: C:\Users\cerad\OneDrive\Desktop\Streaming Data\Module 3\buzzline-03-drake\data
2025-01-28 20:04:55.861 | INFO     | __main__:<module>:76 - Data file: C:\Users\cerad\OneDrive\Desktop\Streaming Data\Module 3\buzzline-03-drake\data\buzz.json
2025-01-28 20:04:55.862 | INFO     | __main__:main:136 - START producer.
2025-01-28 20:04:55.862 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 20:04:55.874 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 20:04:55.875 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 20:04:56.359 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'EVkt_SgnQgCJOfDJt2sP-w', 'controller_id': 0}
2025-01-28 20:04:56.360 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 20:04:56.361 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 20:04:56.361 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 20:04:56.362 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 20:04:56.477 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 20:04:56.478 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 20:04:56.845 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-01-28 20:04:57.651 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-01-28 20:04:57.652 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-01-28 20:04:57.652 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
2025-01-28 20:04:57.653 | INFO     | __main__:generate_messages:95 - Opening data file in read mode: C:\Users\cerad\OneDrive\Desktop\Streaming Data\Module 3\buzzline-03-drake\data\buzz.json
2025-01-28 20:04:57.653 | INFO     | __main__:generate_messages:97 - Reading data from file: C:\Users\cerad\OneDrive\Desktop\Streaming Data\Module 3\buzzline-03-drake\data\buzz.json
2025-01-28 20:04:57.675 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-01-28 20:04:58.678 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-28 20:04:59.679 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie'}
